idx,ref_x,ref_y,road_id,section_id,lane_id,lane_width,left_drivable_width,right_drivable_width,left_boundary_x,left_boundary_y,right_boundary_x,right_boundary_y
96,-48.437042,-49.900837,24,0,1,3.5,4.725,5.25,-45.751984,-49.287764,-53.642662,-50.58203
97,-48.606445,-47.724945,24,0,1,3.5,4.725,5.25,-45.882954,-47.605538,-53.854769,-47.857619
98,-48.625046,-45.694023,24,0,1,3.5,4.725,5.25,-45.90018,-45.65837,-53.874896,-45.733637
99,-48.640137,-43.693798,24,0,1,3.5,4.725,5.25,-45.915271,-43.658145,-53.889987,-43.733412
100,-48.655228,-41.693851,22,0,-1,3.5,4.725,5.25,-45.930362,-41.6582,-53.905078,-41.733464
101,-48.670319,-39.693909,22,0,-1,3.5,4.725,5.25,-45.945453,-39.658257,-53.920169,-39.733522
102,-48.68541,-37.693966,22,0,-1,3.5,4.725,5.25,-45.960544,-37.658314,-53.93526,-37.733579
103,-48.7005,-35.694023,22,0,-1,3.5,4.725,5.25,-45.975635,-35.658371,-53.950351,-35.733636
104,-48.715591,-33.69408,22,0,-1,3.5,4.725,5.25,-45.990726,-33.658429,-53.965442,-33.733693
105,-48.730682,-31.694139,22,0,-1,3.5,4.725,5.25,-46.005817,-31.658488,-53.980533,-31.733752
106,-48.745773,-29.694197,22,0,-1,3.5,4.725,5.25,-46.020908,-29.658545,-53.995624,-29.73381
107,-48.760864,-27.694254,22,0,-1,3.5,4.725,5.25,-46.035999,-27.658602,-54.010715,-27.733867
108,-48.775955,-25.694311,22,0,-1,3.5,4.725,5.25,-46.05109,-25.658659,-54.025806,-25.733924
109,-48.791046,-23.694366,22,0,-1,3.5,4.725,5.25,-46.066181,-23.658715,-54.040897,-23.733979
110,-48.806137,-21.694424,22,0,-1,3.5,4.725,5.25,-46.081272,-21.658772,-54.055988,-21.734037
111,-48.821228,-19.694481,22,0,-1,3.5,4.725,5.25,-46.096363,-19.658829,-54.071078,-19.734094
112,-48.836319,-17.694538,22,0,-1,3.5,4.725,5.25,-46.111454,-17.658886,-54.086169,-17.734151
113,-48.849014,-15.688957,16,0,1,3.5,4.725,5.25,-46.124059,-15.66848,-54.098965,-15.71171
114,-48.853455,-13.68154,16,0,1,3.5,4.725,5.25,-46.128455,-13.681106,-54.103455,-13.682023
115,-48.84938,-11.674123,16,0,1,3.5,4.725,5.25,-46.124421,-11.69373,-54.099335,-11.652338
116,-48.838669,-9.671615,16,0,1,3.5,4.725,5.25,-46.113743,-9.698065,-54.088587,-9.642225
117,-48.828297,-7.674844,16,0,1,3.5,4.725,5.25,-46.10333,-7.692652,-54.078259,-7.655057
118,-48.822472,-5.676524,16,0,1,3.5,4.725,5.25,-46.09749,-5.68982,-54.072451,-5.66175
119,-48.816841,-3.676531,15,0,1,3.5,4.725,5.25,-46.09186,-3.689827,-54.06682,-3.661758
120,-48.811214,-1.67654,382,0,1,3.5,4.725,4.725,-46.086233,-1.689836,-53.536196,-1.663243
121,-48.805588,0.323453,382,0,1,3.5,4.725,4.725,-46.080606,0.310157,-53.530569,0.336749
122,-48.799961,2.323445,382,0,1,3.5,4.725,4.725,-46.07498,2.310149,-53.524943,2.336741
123,-48.794331,4.323437,382,0,1,3.5,4.725,4.725,-46.069349,4.310141,-53.519312,4.336733
124,-48.788704,6.323429,382,0,1,3.5,4.725,4.725,-46.063723,6.310133,-53.513685,6.336725
125,-48.783077,8.323421,382,0,1,3.5,4.725,4.725,-46.058096,8.310125,-53.508059,8.336718
126,-48.730625,10.434684,382,0,1,3.5,4.725,4.725,-46.01624,10.11815,-53.445011,10.751218
127,-48.481697,12.587736,382,0,1,3.5,4.725,4.725,-45.819461,11.820158,-53.143933,13.355314
128,-48.027252,14.706955,382,0,1,3.5,4.725,4.725,-45.460217,13.49542,-52.594287,15.91849
129,-47.371494,16.77277,382,0,1,3.5,4.725,4.725,-44.941834,15.128466,-51.801155,18.417074
130,-46.520485,18.766104,382,0,1,3.5,4.725,4.725,-44.269103,16.704216,-50.771866,20.827991
131,-45.482071,20.668554,382,0,1,3.5,4.725,4.725,-43.448228,18.208121,-49.515914,23.128988
132,-44.243439,22.483671,382,0,1,3.5,4.725,4.725,-42.514112,19.582336,-47.972766,25.385006
133,-42.712822,24.162014,382,0,1,3.5,4.725,4.725,-41.481125,20.715021,-45.944519,27.609007
134,-40.939384,25.581358,382,0,1,3.5,4.725,4.725,-40.284262,21.672912,-43.594507,29.489804
135,-38.966454,26.707033,382,0,1,3.5,4.725,4.725,-38.952767,22.43261,-40.619734,29.821179
136,-36.842213,27.511539,382,0,1,3.5,4.725,4.725,-35.519153,22.975557,-38.619742,29.826737
137,-34.618565,27.975227,382,0,1,3.5,4.725,4.725,-34.018452,23.288492,-36.61975,29.832293
138,-32.405567,28.093996,382,0,1,3.5,4.725,4.725,-32.392438,23.369014,-34.619757,29.837851
139,-30.405571,28.099554,382,0,1,3.5,4.725,4.725,-30.392441,23.374572,-32.619765,29.843408
140,-28.405272,28.10511,20,0,-2,3.5,5.25,4.725,-28.390684,22.855131,-30.619774,29.848966
141,-26.405279,28.110668,20,0,-2,3.5,5.25,4.725,-26.390692,22.860689,-28.619782,29.854522
142,-24.405287,28.116224,20,0,-2,3.5,5.25,4.725,-24.3907,22.866245,-26.61979,29.860078
143,-22.405294,28.121782,20,0,-2,3.5,5.25,4.725,-22.390707,22.871803,-24.619797,29.865636
144,-20.405302,28.127338,20,0,-2,3.5,5.25,4.725,-20.390715,22.877359,-22.619805,29.871192
145,-18.40531,28.132896,20,0,-2,3.5,5.25,4.725,-18.390722,22.882917,-20.619813,29.87675
146,-16.405317,28.138453,20,0,-2,3.5,5.25,4.725,-16.39073,22.888473,-18.61982,29.882306
147,-14.405325,28.144011,20,0,-2,3.5,5.25,4.725,-14.390738,22.894031,-16.619828,29.887864
148,-12.405333,28.149567,20,0,-2,3.5,5.25,4.725,-12.390745,22.899587,-14.619835,29.89342
149,-10.40534,28.155125,20,0,-2,3.5,5.25,4.725,-10.390753,22.905145,-12.619843,29.898978
150,-8.405348,28.160681,20,0,-2,3.5,5.25,4.725,-8.390761,22.910701,-10.619851,29.904534
151,-6.405355,28.166239,20,0,-2,3.5,5.25,4.725,-6.390768,22.916259,-8.619858,29.910092
152,-4.405363,28.171795,20,0,-2,3.5,5.25,4.725,-4.390776,22.921815,-6.619866,29.915648
153,-2.40537,28.177353,20,0,-2,3.5,5.25,4.725,-2.390783,22.927373,-4.619874,29.921206
154,-0.40538,28.182909,20,0,-2,3.5,5.25,4.725,-0.390793,22.932929,-2.619881,29.926762
155,1.594612,28.188467,20,0,-2,3.5,5.25,4.725,1.6092,22.938487,-0.619889,29.93232
156,3.594605,28.194023,20,0,-2,3.5,5.25,4.725,3.609192,22.944043,1.380104,29.937877
157,5.594597,28.199581,20,0,-2,3.5,5.25,4.725,5.609184,22.949601,3.380094,29.943435
158,7.594589,28.205137,20,0,-2,3.5,5.25,4.725,7.609176,22.955158,5.380086,29.948991
159,9.594582,28.210695,20,0,-2,3.5,5.25,4.725,9.609169,22.960716,7.380079,29.954549
160,11.594574,28.216251,20,0,-2,3.5,5.25,4.725,11.609161,22.966272,9.380071,29.960105
161,13.594566,28.221807,20,0,-2,3.5,5.25,4.725,13.609154,22.971828,11.380063,29.965663
162,15.594559,28.227365,20,0,-2,3.5,5.25,4.725,15.609146,22.977386,13.380056,29.971219
163,17.594551,28.232922,20,0,-2,3.5,5.25,4.725,17.609138,22.982942,15.380048,29.976777
164,19.594543,28.23848,20,0,-2,3.5,5.25,4.725,19.609131,22.9885,17.380041,29.982333
165,21.594536,28.244036,20,0,-2,3.5,5.25,4.725,21.609123,22.994056,19.380033,29.987891
166,23.594528,28.249594,20,0,-2,3.5,5.25,4.725,23.609115,22.999614,21.380025,29.993447
167,25.594521,28.25515,20,0,-2,3.5,5.25,4.725,25.609108,23.00517,23.380018,29.999005
168,27.594513,28.260708,848,0,-1,3.5,4.725,4.725,27.607643,23.535726,25.38001,30.004561
169,29.431248,28.319006,848,0,-1,3.5,4.725,4.725,29.879679,23.615334,27.38,30.0101
170,31.160406,28.607292,848,0,-1,3.5,4.725,4.725,32.262224,24.012553,27.1704,30.0095
171,32.83226,29.134563,848,0,-1,3.5,4.725,4.725,34.565807,24.739061,29.1076,30.0473
172,34.413944,29.890457,848,0,-1,3.5,4.725,4.725,36.745149,25.780578,30.5983,30.2733
173,35.874374,30.860111,848,0,-1,3.5,4.725,4.725,38.757422,27.116629,33.4124,31.3356
174,37.178391,32.019989,848,0,-1,3.5,4.725,4.725,40.571216,28.73147,35.8142,33.1287
175,38.283672,33.350746,848,0,-1,3.5,4.725,1.75,42.139063,30.619155,36.85575,34.362447
176,39.172676,34.834736,848,0,-1,3.5,4.725,1.75,43.400121,32.724206,37.606956,35.616414
177,39.824532,36.437126,848,0,-1,3.5,4.725,1.75,44.324781,34.997203,38.157772,36.970431
178,40.223938,38.120285,848,0,-1,3.5,4.725,1.75,44.891341,37.384775,38.49527,38.392696
179,40.362335,39.862835,848,0,-1,3.5,4.725,1.75,45.086929,39.800896,38.612486,39.885775
180,40.388554,41.862663,848,0,-1,3.5,4.725,1.75,45.113148,41.800724,38.638704,41.885604
181,40.414772,43.862488,9,0,1,3.5,4.725,1.75,45.139366,43.800549,38.664922,43.885428
182,40.440987,45.862316,9,0,1,3.5,4.725,1.75,45.165581,45.800378,38.691137,45.885256
183,40.467205,47.862144,9,0,1,3.5,4.725,1.75,45.191799,47.800206,38.717355,47.885085
184,40.493423,49.861973,9,0,1,3.5,4.725,1.75,45.218017,49.800034,38.743574,49.884913
185,40.519642,51.861801,9,0,1,3.5,4.725,1.75,45.244236,51.799863,38.769792,51.884741
186,40.54586,53.861629,152,0,1,3.5,4.725,1.75,45.270454,53.799691,38.796011,53.88457
187,40.572075,55.861458,152,0,1,3.5,4.725,1.75,45.296669,55.799519,38.822225,55.884398
188,40.631466,57.977917,152,0,1,3.5,4.725,1.75,45.3412,57.598406,38.88712,58.118476
189,41.000198,60.231594,152,0,1,3.5,4.725,1.75,45.585304,59.090355,39.302011,60.654275
190,41.73093,62.395172,152,0,1,3.5,4.725,1.75,46.069054,60.522659,40.124218,63.088695
191,42.804161,64.410912,152,0,1,3.5,4.725,1.75,46.77954,61.857093,41.331799,65.35677
